Date,Open,High,Low,Close,Volume,,,,,,,,,,,,
7/3/2024 4:00,2329.8,2332.18,2328.49,2329.7,6205,,,,,,,,,,,,
7/3/2024 8:00,2329.71,2335.8,2326.82,2334.02,9229,,,,,,,,,,,,
7/3/2024 12:00,2334.03,2347.58,2332.99,2347.19,15307,,,,,,,,,,,,
7/3/2024 16:00,2347.22,2361.66,2342.47,2360.12,18405,,,,,,,,,,,,
7/3/2024 20:00,2360.46,2364.92,2353.89,2357.35,17477,,,,,,,,,,,,
7/4/2024 0:00,2357.34,2357.97,2353.67,2355.92,3446,,,,,,,,,,,,
7/4/2024 4:00,2355.7,2362.52,2355.26,2361.76,6579,,,,,,,,,,,,
7/4/2024 8:00,2361.77,2362.03,2355.54,2356.96,8948,,,,,,,,,,,,
7/4/2024 12:00,2357.07,2359.64,2350.64,2357.35,10756,,,,,,,,,,,,
7/4/2024 16:00,2357.34,2360.43,2356.41,2359.26,9607,,,,,,,,,,,,
7/4/2024 20:00,2359.22,2361.87,2355.44,2356.28,8589,,,,,,,,,,,,
7/5/2024 0:00,2356.29,2357.17,2356.1,2356.1,318,,,,,,,,,,,,
7/5/2024 4:00,2356.84,2360.29,2354.2,2358.57,8000,,,,,,,,,,,,
7/5/2024 8:00,2358.58,2365.02,2358.45,2364.92,10791,,,,,,,,,,,,
7/5/2024 12:00,2364.9,2368.02,2361.87,2362.19,13985,,,,,,,,,,,,
7/5/2024 16:00,2362.23,2385.16,2352.3,2382.54,18557,,,,,,,,,,,,
7/5/2024 20:00,2382.44,2389.93,2374.53,2385.96,19105,,,,,,,,,,,,
7/6/2024 0:00,2385.87,2392.91,2385.16,2390.97,7698,,,,,,,,,,,,
7/8/2024 4:00,2389.67,2391.13,2384.25,2385.43,9781,,,,,,,,,,,,
7/8/2024 8:00,2385.42,2387.2,2380.79,2382.86,10959,,,,,,,,,,,,
7/8/2024 12:00,2382.92,2384.25,2368.33,2370.21,15573,,,,,,,,,,,,
7/8/2024 16:00,2370.23,2377.54,2370.23,2375.53,16108,,,,,,,,,,,,
7/8/2024 20:00,2375.52,2379.56,2351.14,2357.29,16840,,,,,,,,,,,,
7/9/2024 0:00,2357.24,2359.84,2354.89,2358.47,5608,,,,,,,,,,,,
7/9/2024 4:00,2358.82,2365.3,2358.77,2362.71,8277,,,,,,,,,,,,
7/9/2024 8:00,2362.72,2368.77,2360.5,2364.74,11595,,,,,,,,,,,,
7/9/2024 12:00,2364.74,2365.57,2358.26,2365.36,13399,,,,,,,,,,,,
7/9/2024 16:00,2365.35,2371.33,2356.14,2365.97,16270,,,,,,,,,,,,
7/9/2024 20:00,2366.34,2367.27,2349.29,2361.79,18941,,,,,,,,,,,,
7/10/2024 0:00,2361.82,2365.56,2361.12,2363.74,5816,,,,,,,,,,,,
7/10/2024 4:00,2362.5,2369.87,2362.19,2367.37,7819,,,,,,,,,,,,
7/10/2024 8:00,2367.27,2370.33,2366.47,2368.59,11195,,,,,,,,,,,,
7/10/2024 12:00,2368.57,2374.96,2367.18,2372.18,12737,,,,,,,,,,,,
7/10/2024 16:00,2372.2,2386.61,2371.75,2382,14676,,,,,,,,,,,,
7/10/2024 20:00,2382.09,2385.16,2370.47,2373.02,16148,,,,,,,,,,,,
7/11/2024 0:00,2373.04,2373.36,2369.85,2371.5,5538,,,,,,,,,,,,
7/11/2024 4:00,2370.75,2376.28,2370.44,2375.65,7023,,,,,,,,,,,,
7/11/2024 8:00,2375.67,2383.01,2374.41,2382.29,10157,,,,,,,,,,,,
7/11/2024 12:00,2382.38,2384.6,2378.49,2383.86,13665,,,,,,,,,,,,
7/11/2024 16:00,2383.89,2412.98,2379.05,2408.19,18493,,,,,,,,,,,,
7/11/2024 20:00,2408.01,2424.54,2404.35,2413.72,19801,,,,,,,,,,,,
7/12/2024 0:00,2413.77,2418.67,2412.96,2414.3,6761,,,,,,,,,,,,
7/12/2024 4:00,2413.01,2416.23,2407.03,2407.67,12035,,,,,,,,,,,,
7/12/2024 8:00,2407.66,2410.93,2405.42,2407.98,11741,,,,,,,,,,,,
